accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch_accel
0.7139,-0.0072,0.7014,-0.0053,-0.4051,0.1326,45.5048
0.7136,0.0011,0.698,-0.3263,0.0545,0.1049,45.6352
0.7149,-0.0026,0.71,-0.4197,0.4835,0.3941,45.1969
0.7076,0.0123,0.7065,-0.0063,-0.3514,0.3013,45.0433
0.7064,0.0014,0.715,0.1111,-0.1573,-0.1003,44.6521
0.7083,-0.002,0.7152,-0.1643,-0.2988,0.378,44.7216
0.7088,0.0061,0.7057,0.0235,0.0744,0.2215,45.1237
0.7064,-0.0101,0.7147,0.0557,-0.2785,0.3711,44.6615
0.7017,-0.0004,0.7078,-0.2473,-0.6251,-0.3468,44.7508
0.7051,0.0015,0.7006,-0.3947,-0.1055,-0.0057,45.1848
0.7136,0.0049,0.7049,0.3307,-0.0201,0.459,45.3538
0.7043,-0.0021,0.7068,-0.0135,-0.5176,-0.1503,44.8996
0.7105,0.0002,0.7138,0.6944,-0.0276,-0.3027,44.8671
0.7098,-0.0018,0.7099,-0.324,-0.1777,-0.4303,44.9965
0.7029,-0.004,0.71,0.4823,0.1874,-0.1185,44.7118
0.7139,0.0072,0.7112,0.0359,0.6899,0.1173,45.1075
0.718,-0.0004,0.7018,-0.7421,-0.1105,-0.4196,45.6531
0.7063,-0.008,0.6909,0.0549,-0.1691,0.3086,45.6303
0.7036,-0.0092,0.7068,0.0595,0.1894,0.0381,44.8649
0.7072,0.0033,0.7039,0.0293,0.0795,-0.1246,45.134
0.7079,-0.001,0.7052,0.0473,-0.1437,0.0451,45.1086
0.7018,0.0073,0.7094,-0.2105,-0.1519,0.2957,44.6908
0.7061,-0.0053,0.704,-0.0537,0.1206,-0.0748,45.0807
0.7016,-0.012,0.7089,0.4517,0.0003,-0.165,44.6995
0.7147,0.0056,0.721,-0.0182,-0.2587,-0.0039,44.7477
0.7089,-0.0001,0.7074,0.2341,0.3198,0.3489,45.0594
0.709,-0.0014,0.7079,-0.0411,-0.1616,-0.399,45.044
0.7081,0.0022,0.7042,-0.0735,-0.0054,0.0002,45.1575
0.7026,-0.0025,0.7117,0.1374,-0.22,0.0776,44.6328
0.6979,0.0034,0.7083,0.0305,-0.1326,-0.1305,44.5767
0.7051,-0.0015,0.7063,-0.2862,-0.5339,-0.3078,44.9548
0.7215,-0.0001,0.7043,0.215,-0.1033,0.0592,45.6926
0.6983,0.0015,0.7108,-0.0799,-0.1361,-0.4819,44.4916
0.7116,-0.0027,0.709,-0.1328,0.0838,0.1269,45.1032
0.707,-0.0026,0.7021,0.0298,0.3334,0.4337,45.1963
0.7057,-0.0003,0.7129,-0.0223,-0.0929,0.166,44.7098
0.702,0.0054,0.7021,-0.0234,-0.2046,0.0374,44.9963
0.705,-0.0016,0.7018,-0.6715,-0.3309,-0.2133,45.1288
0.7036,-0.0026,0.7039,-0.3395,0.2211,-0.2107,44.9863
0.7074,-0.0034,0.7082,0.02,0.0279,-0.2867,44.969
0.7083,-0.0036,0.7083,-0.0427,-0.0504,-0.413,45.0008
0.7007,0.0038,0.7076,-0.0441,0.2409,0.2596,44.7169
0.715,-0.003,0.7093,0.0422,-0.3369,0.1467,45.2288
0.7004,0.0136,0.7066,-0.0635,-0.2262,0.0567,44.7421
0.7098,-0.0011,0.7067,-0.4424,0.0644,-0.0077,45.1259
0.7036,-0.0083,0.7072,0.5256,0.6009,-0.157,44.8495
0.7016,0.0031,0.7132,-0.003,-0.3578,-0.0388,44.5307
0.7053,-0.0044,0.7076,0.3197,-0.1735,-0.7699,44.9046
0.7089,0.0026,0.6982,0.1939,-0.1398,0.4228,45.4325
0.7072,-0.0,0.7031,0.1226,0.3254,-0.1408,45.1671
0.7031,0.0007,0.7208,0.0985,-0.1397,0.2532,44.2857
0.7188,-0.009,0.6991,-0.5904,-0.0332,-0.5207,45.7943
0.7058,0.0029,0.6973,-0.0641,0.3682,-0.1167,45.349
0.7183,0.0003,0.7118,0.333,0.055,0.1695,45.2628
0.7053,0.0007,0.7011,0.5282,-0.1252,0.3785,45.1724
0.7069,-0.0001,0.7024,-0.5074,-0.007,-0.0912,45.1813
0.7045,0.0083,0.714,0.2194,-0.3394,-0.1054,44.6143
0.7086,0.0046,0.7113,0.0826,-0.0056,-0.01,44.889
0.7048,0.0033,0.706,-0.0736,0.3561,-0.2142,44.9532
0.6977,-0.0069,0.7,0.1084,-0.0507,0.0975,44.9039
0.7067,0.0007,0.7067,0.2974,-0.0557,-0.0462,45.0028
0.7145,0.0004,0.701,-0.3282,-0.1339,0.0711,45.5447
0.7024,-0.0036,0.708,-0.0109,-0.2777,-0.0099,44.7691
0.7064,0.0008,0.7029,0.1447,-0.0099,-0.1605,45.1426
0.7018,-0.0007,0.7019,-0.0719,0.4845,-0.3045,44.9947
0.6943,-0.0059,0.7043,-0.0659,-0.1624,-0.7211,44.5921
0.7036,-0.0032,0.7051,-0.6835,0.2234,-0.1156,44.938
0.693,-0.0045,0.7067,0.0277,0.011,-0.0195,44.4379
0.7152,-0.0036,0.7103,-0.1335,-0.322,-0.5796,45.1948
0.7069,-0.0039,0.7075,0.8634,0.323,0.11,44.975
0.7049,-0.0037,0.7109,-0.4307,0.2033,0.2037,44.7577
0.7028,0.0022,0.7092,0.1197,0.2887,0.339,44.7399
0.715,0.0087,0.6994,0.3781,-0.0167,0.0092,45.6287
0.7096,0.0019,0.7077,0.6722,0.3008,-0.4193,45.0798
0.7037,0.0046,0.6978,0.4428,0.0161,-0.1856,45.2403
0.7057,0.0066,0.7116,-0.0669,-0.4598,-0.2789,44.7597
0.7104,-0.0068,0.7154,0.3699,-0.3707,0.1464,44.7966
0.7144,-0.007,0.7103,-0.1559,0.3122,0.1051,45.1635
0.7086,-0.0002,0.7133,0.5741,0.5705,0.1434,44.8115
0.7,0.0072,0.7072,-0.0721,0.1426,0.0753,44.7023
0.708,0.0028,0.7037,-0.1623,-0.4047,-0.0596,45.1734
0.7066,-0.0009,0.7012,-0.2253,0.2216,0.4054,45.22
0.7041,0.0092,0.7139,-0.1852,0.0177,0.2891,44.6019
0.7091,-0.0038,0.7046,-0.1388,0.4436,-0.1598,45.1844
0.7084,-0.0028,0.7071,-0.0654,-0.0609,-0.4052,45.0546
0.7042,0.0034,0.7077,-0.0703,0.3152,0.1966,44.8576
0.7124,-0.0046,0.7032,0.0279,-0.1374,0.3381,45.3698
0.7093,0.005,0.7174,-0.0471,-0.3202,-0.2319,44.6725
0.7033,-0.0031,0.6982,0.0434,-0.1404,-0.3359,45.2063
0.7119,-0.0062,0.7148,-0.0429,0.1581,-0.4471,44.8837
0.7059,-0.0014,0.7078,0.2386,0.5514,0.6463,44.9227
0.7062,-0.0006,0.6988,0.0209,0.469,0.199,45.303
0.7035,-0.0047,0.699,-0.4045,-0.0589,0.0211,45.1833
0.707,0.0033,0.7117,-0.0675,0.0542,0.2131,44.8112
0.7107,0.0059,0.7071,-0.0046,0.0787,-0.2542,45.144
0.7142,-0.001,0.7099,-0.1141,-0.0484,0.0415,45.1716
0.7093,-0.0076,0.7028,0.1508,-0.266,-0.3131,45.2618
