accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch_accel
-0.0049,-0.0009,0.9902,-0.0765,900.3013,-0.1122,-0.2839
0.0023,-0.0042,1.0024,0.2669,900.0749,-0.4172,0.1309
0.0067,0.0006,1.0023,0.355,900.3521,0.2669,0.3837
-0.003,0.0015,0.995,-0.2873,899.3483,-0.554,-0.1733
0.0075,0.0019,0.9919,-0.106,899.3928,-0.0605,0.4314
0.0057,-0.0082,0.9937,0.0466,900.0351,-0.1681,0.3298
0.0131,0.0015,1.0015,0.1356,900.3223,-0.0786,0.7513
0.0107,-0.0004,0.9995,-0.3259,899.8063,-0.3835,0.6131
0.0192,0.0066,1.0083,0.3932,900.0637,-0.1723,1.093
0.0134,0.0065,0.9988,0.1731,899.6728,0.0958,0.7668
0.0157,0.0028,1.0017,-0.4088,899.8333,0.1299,0.8981
0.0263,0.0,1.0128,-0.4172,900.3671,0.1342,1.4894
0.0191,0.0055,0.999,0.4077,900.1423,0.2334,1.0955
0.0226,0.0015,0.9953,0.4096,899.7914,0.1472,1.2999
0.0215,0.0036,0.9998,-0.3098,900.5881,0.3836,1.2296
0.0264,-0.0008,0.9979,0.2194,900.0026,-0.4172,1.5179
0.0176,0.006,1.0007,-0.1212,899.8014,0.0514,1.0066
0.0292,-0.0037,1.0106,0.1401,899.9325,-0.1075,1.655
0.0267,-0.002,1.002,-0.2254,900.3633,0.7164,1.5292
0.0292,0.0019,1.0059,-0.1034,900.2072,-0.1739,1.6638
0.0367,-0.0025,1.0011,0.05,900.0026,0.0217,2.1
0.0404,0.0075,0.9989,0.2502,900.0863,0.6349,2.3167
0.036,-0.0038,1.0073,0.4346,899.7125,0.2628,2.0483
0.0418,0.0009,0.9966,0.2831,900.0864,0.2399,2.4011
0.0369,-0.003,1.0094,-0.3073,899.8357,-0.1021,2.0947
0.0442,-0.0022,0.9958,-0.4132,900.2083,0.0178,2.542
0.0433,-0.0008,1.0051,-0.2393,899.5953,0.0112,2.4652
0.0426,0.0031,1.0019,-0.0593,900.6393,-0.1689,2.4344
0.0485,-0.0001,1.0002,-0.6033,900.0921,-0.5379,2.7736
0.0432,0.0054,0.9915,0.1069,900.4623,0.5053,2.4938
0.0486,0.0065,0.9999,-0.2224,899.9181,0.0401,2.7843
0.0463,0.0006,0.9979,-0.0829,900.0937,0.4193,2.6541
0.0497,-0.0007,1.0,-0.3188,900.1134,-0.3752,2.8456
0.0666,-0.0008,1.0,-0.2839,900.1724,-0.0454,3.8115
