accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch_accel
0.0037,-0.0045,1.3927,0.2172,4.9011,0.5266,0.1524
0.0956,-0.0042,1.4009,2.1141,4.7879,-0.1702,3.9036
0.1991,-0.0068,1.3832,3.9155,4.7886,0.1036,8.1916
0.295,0.0006,1.3798,5.5591,4.5173,-0.1075,12.0684
0.3861,-0.0018,1.3548,7.3833,5.4176,-0.1822,15.9063
0.4743,-0.0039,1.32,8.6066,4.0988,-0.0566,19.7624
0.5416,0.0022,1.2962,9.8687,5.0594,0.1208,22.6776
0.6182,0.003,1.2538,11.5189,4.3009,0.4434,26.2461
0.6861,0.0152,1.2226,12.683,4.0476,-0.0213,29.2984
0.7309,-0.0014,1.1643,13.1035,3.788,-0.1654,32.1212
0.7534,0.0042,1.1248,14.3777,4.2584,-0.3012,33.8148
0.7851,0.0045,1.0722,14.6472,3.7513,0.0458,36.2139
0.803,-0.0088,1.023,14.7821,4.3399,-0.0822,38.1277
0.8004,0.0014,0.97,14.9145,3.4353,0.0927,39.5282
0.7883,0.0033,0.9239,14.5225,2.9616,-0.3668,40.4695
0.7622,-0.0044,0.8794,14.5037,3.1589,-0.1304,40.9163
0.7252,0.005,0.8275,13.3159,2.9387,0.0167,41.2285
0.6792,-0.003,0.793,13.2238,2.4773,0.4943,40.5772
0.6161,0.0021,0.7349,11.8559,1.9969,-0.2277,39.9758
0.5507,-0.0024,0.6982,10.3983,1.2849,-0.2196,38.263
0.4676,0.0086,0.6699,8.8998,1.2914,-0.3453,34.9141
0.39,0.0034,0.6563,6.9629,1.006,0.477,30.7246
0.2937,0.0062,0.6235,5.5327,0.6939,-0.1264,25.2191
0.197,-0.002,0.6157,3.602,0.3397,-0.5351,17.7375
0.1,-0.0126,0.6018,1.6684,0.4953,0.304,9.4324
-0.0102,0.001,0.5838,-0.0201,-0.1147,0.0528,-0.9976
-0.0952,-0.0077,0.6065,-1.8021,-0.1207,0.0157,-8.9236
-0.1985,-0.0036,0.6098,-4.0357,-0.1876,-0.138,-18.029
-0.2862,-0.0028,0.6311,-5.6597,-1.0419,0.1902,-24.3929
-0.3788,-0.0011,0.6443,-7.4412,-1.0649,0.0276,-30.4484
-0.4758,0.0061,0.6766,-9.2825,-2.1067,0.4373,-35.1131
-0.5496,-0.0006,0.7057,-10.664,-1.3507,-0.0307,-37.9114
-0.6207,0.0121,0.7471,-11.3058,-2.3679,0.2418,-39.7168
-0.6763,0.0008,0.7927,-12.4355,-1.9421,0.0934,-40.4701
-0.7258,-0.0049,0.8331,-13.893,-2.4582,0.1987,-41.0647
-0.7646,-0.0034,0.8742,-14.6137,-2.6412,0.0961,-41.175
-0.7943,-0.001,0.924,-14.7952,-2.9791,0.2429,-40.6848
-0.8015,-0.0074,0.9705,-14.5286,-3.4491,-0.3636,-39.5509
-0.8034,0.0,1.0138,-15.2303,-4.0606,-0.1615,-38.3943
-0.7851,-0.0093,1.066,-15.1233,-3.4853,0.158,-36.3705
-0.7682,-0.0116,1.1315,-14.4301,-4.3908,-0.2168,-34.1732
-0.7272,0.0058,1.1685,-13.5392,-3.9048,0.1134,-31.896
-0.678,0.0006,1.2218,-12.3472,-4.1386,-0.1338,-29.0278
-0.608,0.0086,1.2584,-11.2294,-4.1165,-0.3301,-25.7877
-0.5362,0.0036,1.2923,-10.4074,-4.5404,-0.3583,-22.5338
